beta,pers,epsilon1,epsilon2,alpha1,alpha2,alpha3,scale1,scale3,kaps,evidence,participant
0.0579741634421373,1.78225642460108,0.721840266233579,10.3375219639329,1.40653186662715,0.683861836543061,-1.16714247517827,0.0879081560940352,0.574230984398272,0.0744874538140768,-78.2471433024161,3
0.0955968583343896,2.71459109191885,0.446850294038288,7.27555418794455,0.959901486052307,0.677576207791478,-1.10780903632526,0.28628358360776,0.249922553524875,0.324067405735781,-34.8063607828615,4
0.097027570248896,2.5555144308111,0.641926778209668,49.6349225101809,1.79479208571982,-0.039212720865812,-0.466178447324775,0.110705731012615,0.882129866633333,0.0816224031925889,-32.416942111833,5
0.0582449175186996,2.38226594461702,0.463001854062535,31.2862554288808,1.35464893413597,1.09182226455276,-0.750995560976135,0.0835427445204806,0.867922874512334,0.0743235270055853,-60.8955850180915,6
0.096226181033484,2.04555661510357,1.04770829667927,16.2558475097816,1.28623940472288,1.18589545151552,-1.51248184026505,0.047449740184739,0.586160447501048,0.0291227762333183,-52.8399912074936,8
0.115021192945499,1.48919068301538,0.470345218080275,12.6959798126741,1.07813432552579,0.273571119718961,-0.807965753831425,0.0596182882320924,0.691513058915678,0.0137594663632752,-70.8751861670791,9
0.0538527473240016,1.57670029314758,0.493005394758013,20.3718042991415,1.39889037966182,0.806339226742446,-1.1752300136782,0.255198600067741,0.442729734544479,0.0945515251869978,-75.5779580627012,10
0.103534811976345,2.24977970764264,0.526263717681556,3.51202234943816,0.883294558509195,0.621912935111775,-0.757427251329374,0.0648136589120838,0.725959898647179,0.0926200949741629,-46.6140980627455,14
0.0562273862028462,1.4903875774714,0.928948974931563,12.867598692734,1.28903206102783,1.4248733167685,-1.17864240307924,0.0338360845010272,0.77966658436386,0.0429879351975413,-71.0805931501705,15
0.0635010195637787,2.48052305184649,0.404473511874446,12.780914758631,1.24191587198709,0.934344202727327,-0.772753185909465,0.228430879944733,0.828236939304841,0.0366493660336164,-60.6530068975744,16
0.0549456691422224,1.98843731367666,0.532183284769424,27.3716520235858,1.16992066930228,1.06660457661176,-0.878612811846805,0.198036624464042,0.835784697524019,0.294974595373671,-76.467550360497,17
0.0546904923855822,1.25984633671897,0.735131650010321,9.47567360730441,1.42187677949972,0.907902111485154,-0.820891459733223,0.160992622256466,0.749966393155822,0.0715680291271632,-100.770357676041,28
0.0889678278069241,1.60968183819919,0.583448417940489,5.76031417903237,1.1546558796717,0.0569436245683258,-0.650600986863549,0.463344309959715,0.392727333526857,0.0732321795916181,-74.1335723812288,32
0.076643054717933,1.34203525364094,0.497579777711055,3.06377993288123,1.25556127179708,0.708402184370791,-0.841764806039829,0.181031904039437,0.670572010255241,0.168683498315932,-92.1019976250564,36
0.0820401506459696,3.23609861507153,0.43152188648946,13.0840453576713,1.103372048044,0.824857792192599,-0.781290529269744,0.0515043942110937,0.82350947944532,0.00817678287509567,-32.4297785625469,37
0.0888614153014514,2.38345896083889,0.673699387222137,5.68729526478996,1.06277122753333,1.2252916109511,-0.842538381893379,0.0516499577890633,0.809996447896888,0.0381153282016939,-55.00003857706,40
0.049297880111727,1.77843672545042,0.711732849231367,60.9966841374954,0.807397843174644,0.239573854158615,-0.729982396382105,0.200369480972319,0.495982184293439,0.0410517245588024,-96.5196557938028,42
0.0611240725680348,2.93779031168921,1.11821007073893,16.7031122823798,1.83879280133755,0.412912160841363,-1.01375183131086,0.0665446565892373,0.663141906858219,0.0613756718643405,-28.5957597717736,46
0.0863241688072052,2.4954333458423,0.794782805249772,20.9617105819015,1.07481128833415,0.982724318588717,-1.07850551415516,0.0714587674837935,0.374698258687137,0.031143141262006,-50.3458467025553,47
0.0540833197077903,2.35036688889215,0.760379034492354,14.415828942382,1.25419444644413,1.34974146856577,-0.710575236773588,0.0575542492405369,0.849257111413158,0.0338844512307787,-56.8981821111707,48
0.0541809107928598,0.220956802114113,0.678609181771256,114.725619449552,1.17484365691901,0.332050404051115,0.140081108204578,0.729397637734641,0.404512997048038,0.109554052142983,-125.971110020251,49
0.0314416079771943,2.07630242651296,0.68469161561014,14.706251538353,0.903245739361362,0.340488497629609,-0.204570371688817,0.138698249279631,0.680705217330218,0.241643958289907,-102.340495763265,51
0.0915871733623536,2.52142108274239,1.09047067304675,15.3265861043869,1.65440902231941,0.698706250875776,-1.13614417267022,0.038117067749577,0.73110838006016,0.0323938619953195,-38.0195806950926,52
0.060464801701391,1.53242948674808,0.806389844146312,22.4652427440459,0.928286076297364,0.927198636920891,-0.795708382812479,0.0838961114326467,0.682366517590691,0.339508736077099,-82.6302587117074,69
0.107693482314069,1.95146723125412,0.383188379896508,23.6838590444017,1.09333202480135,0.738932359428758,-1.10972455351334,0.109320916520238,0.615831525529137,0.159381340010366,-57.2528596410741,72
0.0585367631028451,2.0907313613156,0.455199957618719,10.3598995898561,1.52843140552117,-0.154951494420927,-0.531353292483542,0.111029699994242,0.592006369293226,0.0724218870182954,-71.9747447351326,74
0.0746776777851583,2.62053449361026,0.528021574344206,2.60530548954701,1.34432838707395,0.309858067706374,-0.533804256596215,0.0644927692306117,0.746293943522155,0.106370995798264,-48.3686055668698,75
0.0459672668652929,1.56773374064581,0.517685154913021,29.950962055777,1.01133385949076,0.657960228873778,-0.951110380328257,0.118238440043,0.649810299584432,0.483495687278558,-102.186852258247,77
0.0765998930400964,2.41417984382361,0.274887721227281,8.44403251857535,1.57674237765091,0.554290884291415,-0.879564777057156,0.114725190369337,0.741435246027537,0.11383694804424,-59.9342707800963,79
0.100972194311669,2.82963022020158,0.745962312077019,11.1721984356801,1.29430510571032,0.465084896273314,-0.758441293130657,0.0762391455336715,0.785960556019602,0.06392293145624,-29.2078496380762,85
0.0534933354999417,1.98334273269481,0.36373423254391,3.46386679868958,0.776217009749631,0.846145011786383,-0.314283631999835,0.251878115934019,0.647748525000062,0.0287753174329464,-79.0527197389301,87
0.0855960680662776,1.73849296163007,0.412827940424467,16.2176387481667,0.822047190045703,0.260684026610758,-0.388030367114727,0.0881006229963454,0.754063356722338,0.0452032728182174,-59.8962209787775,88
0.0548972584438737,1.02417160615463,0.775741841193525,25.1582385342715,1.26809396125085,0.652276388629154,-0.9197196687172,0.0607540345451806,0.74580518687364,0.0308666957946984,-91.6650462147694,90
0.0488354136161827,2.7090955707951,0.61120438418239,11.4383666514925,1.84024001098233,0.598963388167904,-1.15959169166086,0.187912590798847,0.523104379293139,0.161632749392416,-33.9658153468987,95
0.0567758773256589,3.89933584282955,0.487739221931059,22.7031896630488,1.24684633025428,1.0772686366893,-0.82265756568188,0.0764857955553758,0.815661507346346,0.0249616179457585,-31.8690533809601,218
0.0618380402954613,3.34807670358448,0.462417542111415,19.7379543470685,1.90447049190527,0.276440987203115,-0.849661676202935,0.0861617331045258,0.776413051201765,0.069274939433786,-29.1225844149169,219
0.135850844603982,2.37160849552351,0.432002170625517,4.72130514377929,1.31156377251317,0.450769321297864,-0.666688186844684,0.0440426631479049,0.826023424339825,0.015810790993304,-19.4647367603345,220
0.092795848315037,1.89929025219077,0.660674154765022,11.5859731138831,1.1973903716936,0.489069907406401,-0.918674306232874,0.0482045391499451,0.747079837573847,0.0194398577465921,-60.534181680274,221
0.0996408445847719,3.54125863416327,0.374517083512199,7.75782559700587,1.00505446733551,0.515901233027069,-0.63311542067537,0.297062433769404,0.690009728729622,0.397821930383855,-15.7297726810707,223
0.0742325510205601,2.8083153295071,0.667034535993385,14.0633380201062,1.58048511707668,0.300680827129889,-0.758037651570327,0.0653009826019024,0.802651269655935,0.0569976061270175,-39.662674013892,225
0.0567301501783154,1.9982248477001,0.824381245646647,16.5349071791467,1.4078280258454,1.1413750689289,-0.954376395240662,0.0744584881476123,0.797616065835406,0.0726976170703831,-64.6445034572803,226
0.0408475987915255,2.78444988105015,0.698647896052285,38.286710621017,1.09252936139285,0.264148469590563,-0.668555484108059,0.091674886123816,0.661407733314623,0.0614650851581964,-59.9069980332268,229
0.0812306791031432,3.20313452888358,0.814232810017771,4.00247191883087,1.28505319818876,0.772104605936938,-1.06818778113305,0.109672590355512,0.284853626100821,0.158133871251936,-25.4091533285595,230
0.0732407821001168,2.34183775495809,0.694338414907934,33.3409079140982,1.59088501375277,0.778671983617504,-0.918545537109144,0.0923536116814851,0.843871743414317,0.0374441814015358,-44.2261949728972,232
0.0379896389472406,2.29396881139575,0.530245405649446,21.1150867492145,1.11286187843075,0.0469398562556921,-0.346883381727137,0.314427239113914,0.696951081428402,0.0810319064102252,-73.2009491742735,233
0.11630201320392,3.05771989038199,0.707190474327903,2.0616412483367,1.06457433295159,0.552774870231268,-0.616515411664452,0.0629552577439117,0.613213322582179,0.146856549689888,-30.1080577018963,234
0.104937444818404,2.19463976197168,0.57561279281725,6.35756393770717,1.05546007994695,0.875015211185883,-0.974997568892121,0.0527111290134486,0.787694864834446,0.106846531760884,-39.389763854286,242
0.0845512074351532,1.64029877437121,0.631338386802095,7.85351745662493,1.08905739972474,0.828158822537223,-0.630018147722088,0.121727671659422,0.860900582830157,0.067726235017194,-69.4423712712379,243
0.0654151692284008,2.95024988918246,0.417232025714468,38.762633499643,1.42429218088214,0.73527963747573,-0.84319407055738,0.0720005242346493,0.795225107968206,0.021259360227346,-43.1471018953728,245
0.0644820929578864,1.62853894636205,0.441650850208835,20.3140733195392,1.28622685254085,0.593801470901128,-1.04258129506459,0.124558299285635,0.659701080961165,0.101168327760198,-70.2918577051855,247
0.125153069046656,1.99062907415982,0.434668465798974,9.55380232007058,1.32492646553457,0.660924523121472,-0.827635683297877,0.0957029241680387,0.846407397383599,0.0512302071685078,-35.8931493472745,248
0.0796093394580885,2.37353280124477,0.467723943715553,8.35768251064556,1.6610202575582,0.560098325425274,-0.876781779822722,0.332219220616123,0.743027031206841,0.318243616741626,-45.244283565967,250
0.0974933724877284,2.73600748311428,0.642816847211464,5.08943640812853,1.49276211290656,0.483426223771817,-0.925385418552414,0.0716111627011248,0.664792468546961,0.0443622394531598,-29.4234757374095,253
0.0588890744051412,1.4638182807254,0.43075591821136,2.26689362682308,0.949261324283559,1.39931785634985,-0.801376990014855,0.68193638443798,0.642274122496024,0.0495094186787691,-100.752633532737,255
0.0782154320621291,2.40811740956684,0.436639319100715,5.90424266659005,1.50996311240548,1.19503907957781,-1.18157665132932,0.0508633411984441,0.775863979604212,0.0127222054913873,-50.5293176876189,257
0.0552271687772395,2.61170117777314,0.385362643098701,22.8084161953563,1.51267481898731,0.0250758901227222,-0.621455692755895,0.0622015229414664,0.609733116827037,0.416124753036832,-59.5933481266802,258
0.0519061835768398,1.25337979533745,0.804682916518371,22.4199886113066,1.72855736857633,0.569322090452492,-0.560701974015142,0.0477810296136841,0.869269976226697,0.0384402054174069,-99.6063442805879,259
0.0523106445829721,1.00913235742159,0.407142359565095,38.3546291819085,0.838065729642852,1.3635078436426,-0.659468125412362,0.425711841435312,0.737833848122215,0.0247533304618023,-123.006733037684,262
0.0812821713600432,1.71352578162988,0.38454836264494,7.37702364368167,1.46707840997314,-0.232694045199775,-0.601078775653263,0.283965850617761,0.583285231275045,0.0187250010024254,-67.9748024572638,264
0.058247188440135,2.76160210018042,0.401126610531017,11.6129685752125,1.15023640433728,0.54509447508854,-0.620652299353086,0.157758448320102,0.554502328105057,0.0450711245155571,-70.461022738001,266
0.117893592930333,2.77455087185918,0.736337171023466,4.94750978815627,1.41144946790535,0.102517038495115,-0.794914677708153,0.0704571575807992,0.697838655118103,0.0316405812774189,-24.1657406279298,270
0.0760717692938082,1.81010954941346,0.455490141124483,6.66072951467188,1.6576126655547,0.173784236861889,-0.486894637470234,0.110370784095553,0.817870299526899,0.0654214425936818,-69.3810247304619,272
0.0880468186444679,3.37463619549941,0.772734728361513,2.98553473622717,1.30512174406496,0.667796582511911,-0.847272678739691,0.0564964704994442,0.714840856017597,0.0546287286566747,-29.7041423277863,273
0.112193045156686,3.01781996613898,0.379824940827685,2.84296273182176,1.03964671647616,0.845218418695693,-1.09161430005475,0.0713718966241954,0.603120829604352,0.240560474037905,-18.6961558324475,274
0.0627222195925022,2.9623518951733,0.522165452207913,8.0840616863876,1.12123887953085,0.508786704230489,-0.821560231969006,0.282236212906104,0.481586408739332,0.076017981028487,-59.8080461640802,276
0.0574192458588535,2.98321137451738,0.702955876739596,16.3358368217493,1.71724391900538,0.292579928790393,-1.01817297176432,0.109659062956482,0.566852099979885,0.0614174102976285,-28.6435045424353,277
0.11522696971269,2.81290792022344,0.355760911558623,14.7321239017288,1.13698983068159,0.464506525483635,-0.68321943171111,0.0831943728234381,0.802483289411253,0.0885304313786088,-33.7065901479864,278
0.0440021521384453,1.26127613496357,1.18497764982399,12.7292500097391,1.04565795779466,0.95618192576358,-1.24631102970763,0.0839536551014834,0.355937580342261,0.106075846245967,-99.865452617994,280
0.0954406132479732,2.29029785818999,0.263187454517254,7.99671511279726,1.12188996291358,0.108114818907247,-0.581881383004376,0.0415692599451766,0.780914237221604,0.0132925545170784,-56.3593702943334,281
0.085735939277508,1.64358742815081,0.513366089047966,6.29132712883819,1.62188678200873,0.132696786000353,-0.794258094614319,0.179995907029774,0.676013235387071,0.109701297239348,-70.9553109434734,283
0.0743033341372522,2.73343124061347,0.41325915821923,24.5049790185841,1.06526104996704,0.681839506492899,-0.899538344701144,0.285477716668263,0.716065015377377,0.0715690598975012,-48.2713538179694,287
0.0605387345923108,1.40607071618398,0.715487075859399,18.8266686795217,1.09952504366193,0.928311084299747,-1.09555330446015,0.233114472704346,0.330920670536558,0.077813518721622,-90.4582962918638,290
0.10607186335966,2.48260280449958,0.878551740611673,4.37079548171623,1.30514942470316,0.588910055308857,-0.331722556692252,0.574336314431192,0.848846623866453,0.00831600136367087,-48.2955350084106,294
0.0354008413022686,2.38602592963516,0.541308777002772,25.4229144651465,1.22347472053117,1.04157649467624,-1.01649035723452,0.154358050834542,0.699352087714852,0.0444085940801356,-70.8211310330475,296
0.0688445086137327,1.37832168899001,0.638255525659333,12.6280187253151,0.853517695805006,0.814310770690364,-0.868798200993533,0.0996891962145024,0.707402980490692,0.460746493886084,-95.3913893950123,298
0.0683470789958365,1.03883991683939,0.6741724657025,10.6771501654119,1.04398060506046,0.696847496003228,-0.670836380796265,0.101924616021736,0.72798820471705,0.245910128042754,-112.825444537972,299
0.0874927245452885,3.3564586307285,0.400612054178466,38.6706710635928,1.24674089526916,1.1998550626522,-1.06566093408515,0.0733019847795537,0.829734821153866,0.0195810427857459,-20.4455710821186,300
0.104263894065951,2.1273519040808,0.828159775362961,8.24068904093808,1.41564584342078,0.58419823071954,-0.846781411971278,0.0343757102390719,0.811293620270154,0.0166394947201652,-59.7552001578485,301
0.0756727330784682,1.99869148392173,0.407913314771897,28.0606003453657,1.41909381073306,0.267903292206733,-1.01942686091384,0.130891194177993,0.515587423440027,0.0444500297922404,-72.3123790702326,303
0.0496878663341717,1.31755684613162,0.575305003217758,2.79785181752181,0.965039517869426,0.630981649098853,-0.496870398513267,0.693022980174999,0.800992288702807,0.190183824723071,-118.1366630497,305
0.0913716994135258,2.46040202896019,0.497041885310376,18.6821252448367,1.46545071731992,0.763220723911114,-0.819317002287094,0.045022465727979,0.846742791534897,0.0191448683840718,-38.7021586322137,307
0.111317183455428,2.27573331227128,0.596807548446202,6.03345601078274,1.53347122320021,0.475479501013785,-0.886414709779322,0.0588230442456409,0.805830480166973,0.0221655683729965,-37.7986346918823,309
0.0709411274119698,1.10034765356814,0.574501525580735,8.34352937432959,1.17157080495191,0.0608732024497774,-0.553866973766264,0.117180084688312,0.701129056423187,0.157908034586844,-105.352685052323,311
0.089047447398293,1.31231994852128,0.377505264171196,13.5752771629722,1.50864269278383,0.239912161630772,-0.990540442415959,0.092342597188996,0.692850953448788,0.155070645453846,-77.4419778721862,313
0.068601420162346,1.91070783943961,0.791502502745681,27.8357193330544,1.25498353722414,0.542868066857698,-0.457584650701283,0.0480031075147359,0.883603181304899,0.0164472207578497,-81.1033035813949,314
0.0607753080475084,3.03527704516868,0.63494709044874,16.6393558162225,1.41096728060537,0.562690062730375,-0.878599801387463,0.127703513426718,0.655629283891923,0.0902475321678808,-39.4944749060749,316
0.090405825497251,2.02334280186218,0.482230939607974,45.1514389824294,0.780955140708636,0.955724919792766,-1.07801002366348,0.104957643104894,0.426879896061597,0.0301572566804493,-60.7037873154331,317
0.043116821698708,1.32893139175111,0.882287899586227,37.9761688688937,0.992529936507527,0.0911723409596221,-0.702775511203309,0.1397977903462,0.417601939513484,0.169597264084809,-107.243599787811,318
0.0857857941354023,2.29709583621583,0.92162629450409,36.3459589748092,1.71925349137626,0.0307385825844288,-0.756278792829701,0.0461934633346061,0.844259195195911,0.0550604576727204,-44.397190979144,319
0.0747753548626769,2.82873445430505,0.774552880981772,7.17790235161426,1.25044157226599,0.579463674435222,-0.955997032247948,0.105269749427971,0.47668591093727,0.07972424843953,-39.8537679816285,321
0.0640193051650098,1.63497172798215,0.485818704157306,11.315122717362,1.35690458790984,0.994187946907316,-0.73473445665884,0.108729845773438,0.828890269662034,0.0428281173744803,-80.2703246386793,323
0.0517043033320871,1.13459219396828,0.494748074370966,7.69596141971784,1.35547252996184,0.731854981430338,-0.650789828378905,0.402407272182335,0.787555689825174,0.0494133561565319,-106.746425376483,334
0.115603153062991,2.5217194621063,0.468284156564183,12.7569923980684,0.850350818943614,0.885455933156387,-0.660572240870893,0.0588952087917467,0.792907495509011,0.0154898862183944,-38.7525725504673,335
0.0796342599783311,2.70299993216219,0.704011562198084,33.6231712681514,1.30763026442914,0.839396844523878,-0.841339908781597,0.123061987955112,0.848925986225851,0.0419752538889068,-40.1378274804957,336
0.0506667972172006,3.34730183145405,0.653847813112841,6.81586835084623,1.30364338948218,0.630822794861496,-0.55273971671852,0.152769199349721,0.682788754468665,0.201405793136951,-46.1595925063664,338
0.0677721531279927,1.39505825082805,0.531991017765212,6.57043467454684,1.57717543904055,0.969237454225084,-0.551534732619001,0.0901929305102632,0.867945086209833,0.0676064176998883,-80.7279152077398,340
0.0664453199482947,2.39567281203702,0.802458390545991,11.6372019127549,1.36823670256395,0.700011314931535,-0.915782396914598,0.0576878166586154,0.781943008558285,0.0674393924926775,-61.2888753767541,341
0.0705593026970314,1.98138346876931,0.765402810487955,22.2828003717455,1.5314717724715,1.18621115546688,-0.971719370975324,0.0575098129374747,0.880705329185377,0.0668502881824986,-56.0851400925225,343
0.0837971204267668,1.92094204579777,0.416659710021134,15.0846883851879,1.15881991219403,0.548004264153456,-0.994752629581051,0.134818081422808,0.527337990818972,0.0366264846886207,-58.5836645893779,344
0.0840150561427296,3.09369480071859,0.60095991992914,32.0570136758533,1.30752336556513,0.767480664054473,-0.885020436684901,0.0892502053417676,0.810536852375444,0.273073179683635,-36.268966047671,345
0.123899045768011,2.24891318487168,0.461899804499826,7.11404525245017,1.31835534738678,0.599222341859181,-0.803793604267308,0.0525272081643906,0.862912765315874,0.0212665528644591,-27.8279444706005,346
0.0460632397436525,0.791463252501327,0.442262660980607,3.07390215153182,0.938083836519473,0.943755498243243,-0.880541572903092,0.194351916819052,0.58599730100254,0.101603019240399,-122.584362122522,347
0.0675914851303164,2.21127499468318,0.46592087892484,21.05758539567,1.51662602812567,0.874971144832567,-0.848603603842456,0.171924889861292,0.848778305080474,0.0949049734346772,-73.5226759158618,349
0.106197122641011,1.90869552186644,0.706329308184361,5.53928386665801,1.20176434637667,0.142533618592787,-0.678091689849685,0.0999826965100074,0.601124400754851,0.179817580660013,-51.7640238314552,350
0.102309023138491,2.98933333047731,0.57664028794289,6.74704512532392,1.1797711795738,0.49412202332914,-0.632678199855058,0.0660044483407007,0.711415297602359,0.307387980573312,-29.0377398703062,352
0.0602963511694065,2.57263686839277,0.897465510966855,31.534282169672,1.25819285285661,0.431827916298084,-0.757569898513891,0.0521483704758801,0.789995755205109,0.0316635021922185,-55.3605344030031,354
0.0924649417016126,2.41238370092422,0.846402847736028,6.70077644140777,1.15451267705108,0.900428733642873,-0.636598985853423,0.530646063783049,0.85665634971408,0.0390239360381748,-57.3730706932151,357
0.0999143557928934,2.59357182035646,0.572008685056209,4.43221951384342,1.40392386742892,0.0044694497435617,-0.37208251883966,0.54374861716889,0.759833225897024,0.0472451368436128,-48.7772577462907,358
0.0815803922958594,2.47373353142774,0.614523515935409,19.6836548138843,1.40752158949738,0.565767027645147,-0.936965394202501,0.0487511240672389,0.771180273142479,0.0306559180488341,-51.7240529238534,361
0.0574299275474814,1.71539753362712,0.679677736293369,9.89407523041201,1.24320833744191,1.12237784833591,-0.689180242286582,0.477200602376799,0.846153478684979,0.029078369228676,-95.8746231758889,362
0.0927625429096333,2.15618415990012,0.573290717283318,5.98119667015922,1.64420380043234,0.543942373880759,-0.681212287734752,0.147692439787303,0.82436080006006,0.212960287926373,-57.164037147332,363
0.0720137810732491,3.13133571608103,0.515399132209814,25.2636871461253,1.28658180040833,0.922828034857626,-0.942242574542583,0.105635473848099,0.795376090688098,0.279197120730607,-35.8502155742634,365
0.0962012625002426,1.96338429417552,0.530770672215615,10.6098945575044,1.28538791260174,0.681089417032161,-1.09622634655508,0.0704944318300716,0.626010999907054,0.0676408997381237,-45.2449848385808,367
0.11056458048354,2.60181112456998,0.965732556439803,4.14999026142612,1.55955818741776,0.397616958807068,-0.966889635905829,0.0521203338924767,0.68471478267983,0.0879912671476886,-30.7920563482625,370
0.109666673140165,2.18562911167907,0.415286811465404,12.1210992663348,1.23957632574297,0.090154547101409,-0.824054097987669,0.241048775922532,0.413054191991965,0.0526923088103228,-39.3269697111057,372
0.0819710714739269,3.38191080158884,0.490483464811145,8.42506748660152,1.30729610962179,0.441643881843678,-0.650431706312057,0.235771916234661,0.639236828978461,0.129327434621823,-33.3217581364389,373
0.10056179800319,2.40412758411996,0.648289718183746,8.08035943192401,1.18737452163649,0.686985539264978,-0.712263238462445,0.08523908499401,0.777611428481126,0.108540020152236,-44.3532334046226,374
0.0602904898931899,2.40449139179972,0.573957359067111,14.1755117635827,1.55924686594851,0.577125422073623,-0.718510262711578,0.0524871621923985,0.813707980607766,0.0141793746818054,-59.0873873178677,375
0.086846021948414,2.60802039851949,0.475936706313055,5.77914089517139,1.40302552753999,0.206323140621294,-0.411081067766304,0.181058168977392,0.794740109409558,0.32260930680537,-41.9895420954511,376
0.110373053773498,2.05018063092046,0.658025761268437,12.7100177482133,1.4611467484791,0.945163907805663,-0.996871702266497,0.0382967634511331,0.863955164704951,0.0199198523668796,-57.8053925909579,380
0.0917396239498975,2.10450068751791,0.487388143828961,11.0122087609005,1.29253318652241,0.737420176160176,-1.08079267951468,0.373520933568438,0.243205085016918,0.124813690911317,-41.3775338706708,382
0.0509779074964078,1.29424726635652,0.564730974942873,3.27381665962257,1.4180784840452,0.0144626904963429,-0.55004185865181,0.131031543467859,0.532464626363979,0.141268228420736,-106.517547786799,386
0.0829464798828093,2.97820461803191,0.646528962536041,23.4972062946389,1.13050954508094,0.572647089847876,-0.899334706401606,0.101478388603482,0.659073995869202,0.312361885055047,-41.8512584921992,387
0.125655448762748,2.18980659925591,0.376574802591256,2.04286791390935,1.35303601066134,0.353941300292475,-0.566671178741257,0.137999400070345,0.728343744149056,0.41210421598408,-24.8402857390385,390
0.049548600001178,0.71232505290685,0.654975045378716,6.26564043578216,0.923402926540232,0.609607365212844,-0.489108264839866,0.278949820095429,0.574828839430417,0.235486287680829,-136.317563035442,391
