beta,pers,epsilon1,epsilon2,alpha1,alpha2,alpha3,scale1,scale3,kaps,evidence,participant
0.0840041342318967,2.92550848694626,0.623453768239798,42.1993563949323,1.869253159373,0.259011481587693,-0.528841640003966,0.0358307497894034,0.842917187590853,0.0832976386103702,-25.6314899556641,53976390fdf99b73530fe503
0.0981246815720642,2.0631998180014,0.54369648606775,21.7795789254878,1.46773126714519,0.757941953088571,-1.00332291234664,0.0304100697931022,0.759693883966132,0.034507688411774,-48.5374954851306,546e8bc6fdf99b2bc7ebd029
0.101854599900318,2.69017063557632,0.469276924495933,4.37600828137555,0.943794965482201,0.480168493330139,-0.438146923093239,0.0835328788185739,0.451884465032364,0.107623845356536,-46.0378533132214,558955ebfdf99b6bd06016c9
0.0785940639144662,1.8023244855605,1.07718459206364,17.3022867028894,1.49912473024924,0.413002069696095,-0.76710412320159,0.0339274415054133,0.717472777823263,0.0350795314991583,-88.5430523331431,559d75befdf99b1e2b2dc522
0.0608486206325461,2.25884146593782,0.667480286089553,13.656806792312,0.90938956455884,0.0884132022029473,-0.0448684230196538,0.14028470995276,0.618005960735854,0.275355013988911,-73.8708906572299,56410e7a17bdbe000e2a0af4
0.0719623467021595,2.30451209477855,1.41366730647179,13.2417010430437,1.55829792786943,0.491164725457652,-0.478705863276253,0.036954987104355,0.821888020848407,0.0507114172809977,-76.7513783096083,5642444817bdbe00062a1129
0.0794021870117143,2.1175181805358,0.787154543731978,9.00264177553589,1.0838062132152,0.284608219658391,-0.203149680129572,0.0680215488521941,0.809549618485265,0.0838581879326174,-67.1127299073478,566d5997d408ea00051a2a86
0.0589757698099194,2.2540793758642,0.621753097449219,38.1675356547277,1.2144462985732,1.28875461378258,-0.727869622448603,0.110768807938266,0.821647029526379,0.116016376197676,-62.3193483968264,56896433d3d6a7000ca23d94
0.096364863749024,2.82783000761938,0.480197088882855,21.3894083779517,1.18580533869371,0.497639447474132,-0.671596535393091,0.149105966561273,0.473198564003668,0.245148402341023,-40.9644927786998,56a346dddbe850000cfd3116
0.0753833343054326,2.85048131121543,0.510877729421284,18.0369834118551,0.971594213346122,1.20951439905569,-0.754498383082839,0.0450597906635179,0.780167283248812,0.263443845101675,-40.5537991983621,56a930c711926500056e6eed
0.0638727251011046,2.89318378718206,0.577023212165058,19.2871609493885,1.07703722762393,0.690492562552064,-0.313015428043224,0.660062676496064,0.715983776854269,0.134096753977586,-51.9276445208397,56d7623f04c67d000c7b9de6
0.0908116368520496,1.90931386558734,0.506779871251335,4.9403505286415,1.07843824966941,0.638155917775864,-0.713319288237607,0.120744126070446,0.751949369752706,0.105151359552096,-61.5559845172221,56e8bf5a870a8e000b4a8d6e
0.0848315788369665,1.90951384934796,0.507332608064115,3.36902750050797,1.5203252398501,0.649565470880209,-0.612684207818012,0.0451452680085587,0.809588393587968,0.0499283384603825,-66.1952481729453,56f699e876348f000c883bba
0.069383844294432,2.15246919172612,0.629524194878555,2.41447325987849,1.41530163830075,1.23413403911297,-0.461666962048059,0.0783693439622156,0.735813566722736,0.0494251106188161,-68.8003605028875,5702fde2d4cf7f00089471f3
0.0732779521139883,2.66945117111695,0.667518312449237,32.2948584287342,1.01726665675823,0.921074266388989,-0.500138073428907,0.0550465905323351,0.732404287496673,0.312422510113162,-64.7930279777544,5717864c94d4fc001297198d
0.0938506501368182,2.42907738872109,0.537159768465583,2.53747018119714,1.08710919580615,0.894885787975937,-0.172878657402573,0.370760029315279,0.764539384763544,0.240518291963461,-43.2040775173036,5721b3054d5b26001301f651
0.079122853683066,2.07845104873685,0.509157723897764,1.80523957090836,1.29685438504789,1.51653088441447,-0.467333092069128,0.250734377627104,0.754238885149471,0.336893915066533,-76.3923416559037,572f526c3c27e7000e0b8aaa
0.0829884858468288,2.16538697700651,0.428438898526982,39.9863854088484,1.63995998473825,0.844192389999875,-0.448440472556543,0.129196470164243,0.879947132376338,0.134160871480805,-44.7851943573422,579e352f4d107800016dd96e
0.0935922614907904,3.31169221725338,0.507518663179694,2.15305283447756,1.05410738594822,0.881613331841494,-0.0152642642686479,0.3953446576491,0.696811857029758,0.194193695893222,-24.1445120510469,57b76ea36aeef20001e8928d
0.074476823969675,2.0735662341859,0.486786176240077,47.0214717621179,1.24927457193396,1.3755926891689,-0.253345877306488,0.0886519911401946,0.907670515214859,0.182697027724289,-54.0667808259848,57c57ea095a3ea00016e5a14
0.0599576386167857,2.58879605768953,0.721221586323726,7.22026637192524,1.13897867053778,0.507511384723262,-0.3777407285241,0.11016224646318,0.693925833949554,0.272621342573224,-67.8875629553033,58ae37d8e6afe00001d36ac9
0.0679574901634053,2.55361485886949,0.593979109754562,6.5572043558838,1.01584212180848,1.60211420185871,-1.04044047727902,0.15037187811343,0.35060627957603,0.272317915552207,-46.9252555368218,5909babdae44b5000105b93d
0.0924930506474142,2.81394257193599,0.422822103294345,9.22465879523705,1.76456160481179,0.18665010477835,-0.513916817808745,0.0703009520366236,0.779841797126708,0.314579276199272,-29.3069620407128,596838d501a29d0001de41cc
0.0392938067898682,0.571094170897066,0.824350503481113,20.6233415604488,0.72585155177617,0.463499880971337,-1.4112016581502,0.358058595432493,0.223931349950399,0.146087520444931,-127.200874903361,5988055f631d0c000149a5ac
