beta,pers,epsilon1,epsilon2,alpha1,alpha2,alpha3,scale1,scale3,kaps,participant
0.0596396151417185,1.75042701988517,0.735044954170839,9.97256201819629,1.43531545226708,0.690401226606653,-1.3396287151098,0.0798219563405836,0.608572174680999,0.0923608659476633,3
0.0878747926042761,2.75485815769861,0.399632058592808,8.18695979368665,0.960997275834619,0.685766719384294,-0.864837458933376,0.263713014769229,0.232612084244671,0.347945542381405,4
0.0975594909355779,2.40565786710916,0.730308558130854,45.134030133653,1.76071743504231,-0.055256918661698,-0.354258888957612,0.11035641169722,0.868992145836052,0.0944637639893093,5
0.0587240762123122,2.3640322894858,0.462064966826067,34.4337876866433,1.44257722477197,1.1922042032712,-0.674134832546739,0.0714606676165984,0.885524294035331,0.0770614605266261,6
0.0881838912652666,2.10580031602329,0.929239801963809,9.5581857335386,1.15813386355598,1.1455291074791,-1.68504379543089,0.0241552253013787,0.6042936234136,0.0201672949556545,8
0.109688133195786,1.49118264410957,0.385733858816646,12.445574795827,1.06048399871594,0.282164986118364,-0.851665394849915,0.0608907990404732,0.688972897009066,0.0125868393467651,9
0.0562442688589403,1.51601749813873,0.499053677144442,35.179800751536,1.40021885928863,0.807969331208072,-1.38711400079848,0.256019812285866,0.4557501623346,0.117310195441687,10
0.10543694224792,2.24654855946281,0.563344312498352,3.04423547968495,0.944777168693818,0.664070710230979,-0.685987461442994,0.0544321466238799,0.745066006926933,0.119891065116925,14
0.0542297114477903,1.304941181747,0.719708777919461,28.0221576272967,1.77670623381038,1.68338585234025,-1.26506663399639,0.0246828674621828,0.867195669175642,0.0261936436915496,15
0.0651145379195801,2.44912588426412,0.425268313971322,13.4961290737263,1.33841328652844,1.02174577304335,-0.782113092768952,0.247692777296869,0.843794674955782,0.045409074993627,16
0.059613494741632,1.95152106136032,0.584982074328122,31.0456338848405,1.2360497725737,1.20845257960072,-0.917852404720771,0.172889315444843,0.831698291626888,0.320006021698895,17
0.0551408143335523,1.22647392872457,0.755623810188671,12.4025585572509,1.4539499344523,0.936637086976911,-0.829425883478469,0.178920929804661,0.742548513401919,0.0733964746155559,28
0.0944201469152413,1.66470850616135,0.742032015582443,7.87304834565169,1.08490780630748,0.114170509535129,-0.437880650404206,0.472573713909282,0.377477154651442,0.0632620573165084,32
0.0743333851000516,1.34729906897474,0.501129039989813,2.55208108082883,1.28684924520062,0.745474952294861,-0.792042932958174,0.195542591178557,0.704027608672024,0.164518173600069,36
0.0815611274001805,3.26236337278684,0.43725621316324,14.5531836731482,1.09457711238555,0.86936004651852,-0.723377058633888,0.0540512093555226,0.836267245198808,0.00927820082921361,37
0.0889369753571969,2.35218734490501,0.647459470529562,5.3192795279113,1.11946823438582,1.31596333401124,-0.815567946161796,0.051715706593162,0.816447579479139,0.0362389217009023,40
