beta,pers,epsilon1,epsilon2,epsilon3,alpha1,alpha2,alpha3,scale1,scale2,scale3,participant
0.0536490893042693,1.67071422636452,0.410191133689482,0.992694350960075,9.81167764135818,0.745696093705377,0.611590589390253,1.40423806074692,0.790700925717642,0.566218813355533,0.0547397591637549,3
0.0693719817025181,2.56352263118395,0.313353004736729,0.637125630822888,10.0488143322915,-0.199442532709105,-0.0779308935223983,1.26876264897459,0.333570121864205,0.318373852138457,0.0491783462644093,4
0.0572519128663235,2.26970162418506,0.261329788813723,0.823713109702546,9.12473245781922,0.663538076098607,0.445383010369269,3.37194206712563,0.906152742516219,0.48909186413516,0.0951139952007788,5
0.0493267070183089,2.14614615102697,0.316908534164275,0.743573595176548,9.13355096901873,0.754468280301491,1.42808836827314,2.523226152355,0.545965498622443,0.568978868667005,0.0719063944704889,6
0.071859558826997,1.93920639761111,0.263013930534324,1.47564006857066,9.53631321678137,-0.0769194874844236,0.773769944198225,1.5506845078124,0.903555170234566,0.614663719477688,0.0524866676393345,8
0.0603273219738026,1.50971764576716,0.199989834184108,0.346105236214603,9.7438059121306,-0.65585327794431,-0.472360008692817,2.2722881272477,0.923419705502639,0.718622644903628,0.108063509573853,9
0.0608073785599489,1.27271467504397,0.330103644653337,1.5262587127845,10.2131967626372,0.670788146590292,0.374597519042745,1.34327983027564,0.636157255256672,0.493008427963899,0.0534524869249098,10
0.0588834534308624,2.26233587690941,0.262539134715369,0.394135718384982,9.35444807657457,-1.23197591320475,0.236355728700392,2.11183047558492,0.755388135264425,0.634719004755158,0.0708466763727499,14
0.0533471143608583,1.09298192684752,0.202536080750228,2.33225609537871,9.84692389263491,0.820314966043269,1.9530942010685,1.73182170667717,0.884507921068296,0.485457036802115,0.0778988335244714,15
0.0568959114946368,2.11122963689123,0.312022124025223,0.782896177109895,8.99682060024426,0.529942511254185,1.02730632180826,2.53924095862259,0.463936157626023,0.532486456131015,0.0767139056855364,16
